task,model,stimulus_group,stimulus_index,seed,n_examples,n_parseable,parseable_rate,mean_abs_error,median_abs_error,log_file
sum,flan-t5-large,inconsistency,2,44,100,100,1.0,39.18,34.0,results\batch_logs\h3_batch_base.log
sum,flan-t5-large,social_comparison,1,42,100,100,1.0,35.68,34.0,results\batch_logs\h3_batch_base.log
sum,flan-t5-large,social_comparison,1,43,100,100,1.0,35.68,34.0,results\batch_logs\h3_batch_base.log
sum,flan-t5-large,social_comparison,1,44,100,100,1.0,35.68,34.0,results\batch_logs\h3_batch_base.log
sum,flan-t5-large,social_comparison,2,42,100,100,1.0,36.56,34.5,results\batch_logs\h3_batch_base.log
sum,flan-t5-large,social_comparison,2,43,100,100,1.0,36.56,34.5,results\batch_logs\h3_batch_base.log
sum,flan-t5-large,social_comparison,2,44,100,100,1.0,36.56,34.5,results\batch_logs\h3_batch_base.log
sum,flan-t5-large,urgency,1,42,100,100,1.0,38.97,37.5,results\batch_logs\h3_batch_base.log
sum,flan-t5-large,urgency,1,43,100,100,1.0,38.97,37.5,results\batch_logs\h3_batch_base.log
sum,flan-t5-large,urgency,1,44,100,100,1.0,38.97,37.5,results\batch_logs\h3_batch_base.log
sum,flan-t5-large,urgency,2,42,100,100,1.0,38.81,35.5,results\batch_logs\h3_batch_base.log
sum,flan-t5-large,urgency,2,43,100,100,1.0,38.81,35.5,results\batch_logs\h3_batch_base.log
sum,flan-t5-large,urgency,2,44,100,100,1.0,38.81,35.5,results\batch_logs\h3_batch_base.log
sum,flan-t5-large,regret,1,42,100,100,1.0,40.16,41.0,results\batch_logs\h3_batch_base.log
sum,flan-t5-large,regret,1,43,100,100,1.0,40.16,41.0,results\batch_logs\h3_batch_base.log
sum,flan-t5-large,regret,1,44,100,100,1.0,40.16,41.0,results\batch_logs\h3_batch_base.log
sum,flan-t5-large,regret,2,42,100,100,1.0,38.89,34.5,results\batch_logs\h3_batch_base.log
sum,flan-t5-large,regret,2,43,100,100,1.0,38.89,34.5,results\batch_logs\h3_batch_base.log
sum,flan-t5-large,regret,2,44,100,100,1.0,38.89,34.5,results\batch_logs\h3_batch_base.log
