task,model,stimulus_group,stimulus_index,legacy_pnum,few_shot,seed,temperature,do_sample,score
letters_list,flan-t5-large,negative_original,,2,False,42,0.0,False,0.0
letters_list,flan-t5-large,negative_original,,2,False,43,0.0,False,0.0
letters_list,flan-t5-large,negative_original,,2,False,44,0.0,False,0.0
letters_list,flan-t5-large,negative_original,,3,False,42,0.0,False,0.0
letters_list,flan-t5-large,negative_original,,3,False,43,0.0,False,0.0
letters_list,flan-t5-large,negative_original,,3,False,44,0.0,False,0.0
letters_list,flan-t5-large,negative_original,,4,False,42,0.0,False,0.0
letters_list,flan-t5-large,negative_original,,4,False,43,0.0,False,0.0
letters_list,flan-t5-large,negative_original,,4,False,44,0.0,False,0.0
letters_list,flan-t5-large,negative_original,,5,False,42,0.0,False,0.0
letters_list,flan-t5-large,negative_original,,5,False,43,0.0,False,0.0
letters_list,flan-t5-large,negative_original,,5,False,44,0.0,False,0.0
letters_list,flan-t5-large,negative_original,,6,False,42,0.0,False,0.0
letters_list,flan-t5-large,negative_original,,6,False,43,0.0,False,0.0
letters_list,flan-t5-large,negative_original,,6,False,44,0.0,False,0.0
letters_list,flan-t5-large,negative_original,,7,False,42,0.0,False,0.0
letters_list,flan-t5-large,negative_original,,7,False,43,0.0,False,0.0
letters_list,flan-t5-large,negative_original,,7,False,44,0.0,False,0.0
letters_list,flan-t5-large,negative_original,,8,False,42,0.0,False,0.0
letters_list,flan-t5-large,negative_original,,8,False,43,0.0,False,0.0
letters_list,flan-t5-large,negative_original,,8,False,44,0.0,False,0.0
letters_list,flan-t5-large,negative_original,,9,False,42,0.0,False,0.0
letters_list,flan-t5-large,negative_original,,9,False,43,0.0,False,0.0
letters_list,flan-t5-large,negative_original,,9,False,44,0.0,False,0.0
letters_list,flan-t5-large,negative_original,,10,False,42,0.0,False,0.0
letters_list,flan-t5-large,negative_original,,10,False,43,0.0,False,0.0
letters_list,flan-t5-large,negative_original,,10,False,44,0.0,False,0.0
negation,flan-t5-large,negative_original,,1,False,42,0.0,False,0.01
negation,flan-t5-large,negative_original,,1,False,43,0.0,False,0.01
negation,flan-t5-large,negative_original,,1,False,44,0.0,False,0.01
negation,flan-t5-large,negative_original,,2,False,42,0.0,False,0.0
negation,flan-t5-large,negative_original,,2,False,43,0.0,False,0.0
negation,flan-t5-large,negative_original,,2,False,44,0.0,False,0.0
negation,flan-t5-large,negative_original,,3,False,42,0.0,False,0.0
negation,flan-t5-large,negative_original,,3,False,43,0.0,False,0.0
negation,flan-t5-large,negative_original,,3,False,44,0.0,False,0.0
negation,flan-t5-large,negative_original,,4,False,42,0.0,False,0.0
negation,flan-t5-large,negative_original,,4,False,43,0.0,False,0.0
negation,flan-t5-large,negative_original,,4,False,44,0.0,False,0.0
negation,flan-t5-large,negative_original,,5,False,42,0.0,False,0.0
negation,flan-t5-large,negative_original,,5,False,43,0.0,False,0.0
negation,flan-t5-large,negative_original,,5,False,44,0.0,False,0.0
negation,flan-t5-large,negative_original,,6,False,42,0.0,False,0.0
negation,flan-t5-large,negative_original,,6,False,43,0.0,False,0.0
negation,flan-t5-large,negative_original,,6,False,44,0.0,False,0.0
negation,flan-t5-large,negative_original,,7,False,42,0.0,False,0.0
negation,flan-t5-large,negative_original,,7,False,43,0.0,False,0.0
negation,flan-t5-large,negative_original,,7,False,44,0.0,False,0.0
negation,flan-t5-large,negative_original,,8,False,42,0.0,False,0.0
negation,flan-t5-large,negative_original,,8,False,43,0.0,False,0.0
negation,flan-t5-large,negative_original,,8,False,44,0.0,False,0.0
negation,flan-t5-large,negative_original,,9,False,42,0.0,False,0.0
negation,flan-t5-large,negative_original,,9,False,43,0.0,False,0.0
negation,flan-t5-large,negative_original,,9,False,44,0.0,False,0.0
negation,flan-t5-large,negative_original,,10,False,42,0.0,False,0.0
negation,flan-t5-large,negative_original,,10,False,43,0.0,False,0.0
negation,flan-t5-large,negative_original,,10,False,44,0.0,False,0.0
num_to_verbal,flan-t5-large,negative_original,,1,False,42,0.0,False,0.0
num_to_verbal,flan-t5-large,negative_original,,1,False,43,0.0,False,0.0
num_to_verbal,flan-t5-large,negative_original,,1,False,44,0.0,False,0.0
num_to_verbal,flan-t5-large,negative_original,,2,False,42,0.0,False,0.0
num_to_verbal,flan-t5-large,negative_original,,2,False,43,0.0,False,0.0
num_to_verbal,flan-t5-large,negative_original,,2,False,44,0.0,False,0.0
